wavelength[nm], flux
385.27, 2.0090e-12
385.41, 1.9970e-12
385.55, 1.9610e-12
385.69, 1.9060e-12
385.83, 1.8280e-12
385.97, 1.7750e-12
386.11, 1.8590e-12
386.25, 1.9970e-12
386.39, 2.1110e-12
386.53, 2.1640e-12
386.67, 2.1590e-12
386.81, 2.1140e-12
386.95, 2.0000e-12
387.09, 1.8920e-12
387.23, 1.8610e-12
387.37, 1.9210e-12
387.51, 1.9970e-12
387.65, 1.9600e-12
387.79, 1.8580e-12
387.93, 1.7700e-12
388.07, 1.7290e-12
388.21, 1.6980e-12
388.35, 1.6420e-12
388.49, 1.5620e-12
388.63, 1.4450e-12
388.77, 1.3600e-12
388.91, 1.3930e-12
389.05, 1.5520e-12
389.19, 1.7320e-12
389.33, 1.8380e-12
389.47, 1.8990e-12
389.61, 1.9760e-12
389.75, 2.0300e-12
389.89, 2.0460e-12
390.03, 2.0890e-12
390.17, 2.1200e-12
390.31, 2.0990e-12
390.45, 2.0760e-12
390.59, 2.1200e-12
390.73, 2.2370e-12
390.87, 2.3730e-12
391.01, 2.4630e-12
391.15, 2.5140e-12
391.29, 2.5290e-12
391.43, 2.5150e-12
391.57, 2.4750e-12
391.71, 2.4310e-12
391.85, 2.3170e-12
391.99, 2.1930e-12
392.13, 2.1240e-12
392.27, 2.1250e-12
392.41, 2.1290e-12
392.55, 2.0320e-12
392.69, 1.8810e-12
392.83, 1.6620e-12
392.97, 1.4130e-12
393.11, 1.1950e-12
393.25, 1.0370e-12
393.39, 1.0180e-12
393.53, 1.1280e-12
393.67, 1.3460e-12
393.81, 1.5580e-12
393.95, 1.7190e-12
394.09, 1.8380e-12
394.23, 1.9040e-12
394.37, 1.9280e-12
394.51, 2.0290e-12
394.65, 2.1250e-12
394.79, 2.1920e-12
394.93, 2.2490e-12
395.07, 2.2910e-12
395.21, 2.2750e-12
395.35, 2.2420e-12
395.49, 2.1990e-12
395.63, 2.1160e-12
395.77, 2.1010e-12
395.91, 2.0200e-12
396.05, 1.8610e-12
396.19, 1.6380e-12
396.33, 1.4540e-12
396.47, 1.2660e-12
396.61, 1.0590e-12
396.75, 8.8040e-13
396.89, 8.2070e-13
397.03, 9.0000e-13
397.17, 1.0670e-12
397.31, 1.2680e-12
397.45, 1.4850e-12
397.59, 1.7200e-12
397.73, 1.9390e-12
397.87, 2.1110e-12
398.01, 2.2430e-12
398.15, 2.3290e-12
398.29, 2.3490e-12
398.43, 2.3690e-12
398.57, 2.4220e-12
398.71, 2.4880e-12
398.85, 2.5980e-12
398.99, 2.6720e-12
399.13, 2.7030e-12
399.27, 2.7470e-12
399.41, 2.7740e-12
399.55, 2.7390e-12
399.69, 2.7100e-12
399.83, 2.7520e-12
399.97, 2.8170e-12
400.11, 2.8390e-12
400.25, 2.8000e-12
400.39, 2.7370e-12
400.53, 2.6760e-12
400.67, 2.6860e-12
400.81, 2.7710e-12
400.95, 2.8530e-12
401.09, 2.9020e-12
401.23, 2.9300e-12
401.37, 2.9650e-12
401.51, 3.0140e-12
401.65, 3.0500e-12
401.79, 3.0560e-12
401.93, 3.0610e-12
402.07, 3.0450e-12
402.21, 3.0250e-12
402.35, 3.0360e-12
402.49, 3.0390e-12
402.63, 3.0340e-12
402.77, 3.0070e-12
402.91, 2.9160e-12
403.05, 2.7940e-12
403.19, 2.6940e-12
403.33, 2.6920e-12
403.47, 2.7920e-12
403.61, 2.9520e-12
403.75, 3.0850e-12
403.89, 3.1550e-12
404.03, 3.0700e-12
404.17, 3.0110e-12
404.31, 2.8490e-12
404.45, 2.6450e-12
404.59, 2.5680e-12
404.73, 2.7650e-12
404.87, 2.9470e-12
405.01, 3.0130e-12
405.15, 2.9410e-12
405.29, 2.8770e-12
405.43, 2.8260e-12
405.57, 2.7960e-12
405.71, 2.7870e-12
405.85, 2.7790e-12
405.99, 2.7520e-12
406.13, 2.6880e-12
406.27, 2.5950e-12
406.41, 2.6030e-12
406.55, 2.6340e-12
406.69, 2.6920e-12
406.83, 2.7330e-12
406.97, 2.7080e-12
