wavelength[nm], flux
385.20, 5.1500e-12
385.34, 5.1680e-12
385.48, 5.1720e-12
385.62, 5.1600e-12
385.76, 5.2240e-12
385.90, 5.2960e-12
386.04, 5.2450e-12
386.18, 5.0890e-12
386.32, 5.0040e-12
386.46, 5.0220e-12
386.60, 4.8920e-12
386.74, 4.8590e-12
386.88, 4.9200e-12
387.02, 4.8820e-12
387.16, 4.8570e-12
387.30, 4.8740e-12
387.44, 4.9140e-12
387.58, 5.0090e-12
387.72, 4.9470e-12
387.86, 4.7090e-12
388.00, 4.4520e-12
388.14, 4.3820e-12
388.28, 4.3960e-12
388.42, 4.2070e-12
388.56, 3.8620e-12
388.70, 3.5110e-12
388.84, 3.4210e-12
388.98, 3.7390e-12
389.12, 4.1610e-12
389.26, 4.3750e-12
389.40, 4.3910e-12
389.54, 4.5080e-12
389.68, 4.8640e-12
389.82, 5.0750e-12
389.96, 5.0740e-12
390.10, 5.0160e-12
390.24, 4.9920e-12
390.38, 4.9620e-12
390.52, 4.8830e-12
390.66, 5.0210e-12
390.80, 5.1100e-12
390.94, 4.9800e-12
391.08, 5.1410e-12
391.22, 5.1340e-12
391.36, 5.0960e-12
391.50, 5.0060e-12
391.64, 4.8590e-12
391.78, 5.0010e-12
391.92, 4.9110e-12
392.06, 4.7020e-12
392.20, 4.8050e-12
392.34, 4.8790e-12
392.48, 4.7510e-12
392.62, 4.7860e-12
392.76, 4.8550e-12
392.90, 4.7380e-12
393.04, 4.5280e-12
393.18, 4.4190e-12
393.32, 4.6190e-12
393.46, 4.7360e-12
393.60, 4.7170e-12
393.74, 4.9120e-12
393.88, 4.8220e-12
394.02, 4.7470e-12
394.16, 4.7630e-12
394.30, 4.7370e-12
394.44, 4.6560e-12
394.58, 4.6760e-12
394.72, 4.7760e-12
394.86, 4.8310e-12
395.00, 4.7790e-12
395.14, 4.6460e-12
395.28, 4.6540e-12
395.42, 4.8320e-12
395.56, 4.7130e-12
395.70, 4.5930e-12
395.84, 4.6210e-12
395.98, 4.4700e-12
396.12, 4.2230e-12
396.26, 4.0820e-12
396.40, 3.9080e-12
396.54, 3.6310e-12
396.68, 3.3330e-12
396.82, 3.2300e-12
396.96, 3.2920e-12
397.10, 3.4140e-12
397.24, 3.6600e-12
397.38, 3.9470e-12
397.52, 4.1110e-12
397.66, 4.2000e-12
397.80, 4.3110e-12
397.94, 4.4460e-12
398.08, 4.5070e-12
398.22, 4.4640e-12
398.36, 4.4130e-12
398.50, 4.4500e-12
398.64, 4.5520e-12
398.78, 4.5680e-12
398.92, 4.5780e-12
399.06, 4.6930e-12
399.20, 4.7230e-12
399.34, 4.5850e-12
399.48, 4.5390e-12
399.62, 4.5280e-12
399.76, 4.4020e-12
399.90, 4.4120e-12
400.04, 4.4440e-12
400.18, 4.4370e-12
400.32, 4.3960e-12
400.46, 4.4380e-12
400.60, 4.4630e-12
400.74, 4.3050e-12
400.88, 4.1810e-12
401.02, 4.2400e-12
401.16, 4.3200e-12
401.30, 4.4080e-12
401.44, 4.5090e-12
401.58, 4.5050e-12
401.72, 4.4120e-12
401.86, 4.3540e-12
402.00, 4.3770e-12
402.14, 4.1930e-12
402.28, 3.9490e-12
402.42, 3.7070e-12
402.56, 3.6270e-12
402.70, 3.8740e-12
402.84, 4.1090e-12
402.98, 4.2120e-12
403.12, 4.3040e-12
403.26, 4.3920e-12
403.40, 4.2880e-12
403.54, 4.2620e-12
403.68, 4.2860e-12
403.82, 4.3500e-12
403.96, 4.2410e-12
404.10, 4.1270e-12
404.24, 4.1610e-12
404.38, 4.2720e-12
404.52, 4.3630e-12
404.66, 4.2930e-12
404.80, 4.2400e-12
404.94, 4.2410e-12
405.08, 4.1740e-12
405.22, 4.2530e-12
405.36, 4.2260e-12
405.50, 4.0710e-12
405.64, 4.0990e-12
405.78, 4.1150e-12
405.92, 4.1320e-12
406.06, 4.1630e-12
406.20, 4.0880e-12
406.34, 4.1450e-12
406.48, 4.1730e-12
406.62, 3.9950e-12
406.76, 3.8070e-12
406.90, 3.7410e-12
407.04, 3.8990e-12
