wavelength[nm], flux
385.52, 1.2190e-13
385.66, 1.0560e-13
385.80, 9.0780e-14
385.94, 8.4260e-14
386.08, 8.9510e-14
386.22, 1.0590e-13
386.36, 1.2490e-13
386.50, 1.3240e-13
386.64, 1.3490e-13
386.78, 1.5240e-13
386.92, 1.6320e-13
387.06, 1.3840e-13
387.20, 1.1020e-13
387.34, 9.3060e-14
387.48, 1.1140e-13
387.62, 1.4290e-13
387.76, 1.3840e-13
387.90, 1.2590e-13
388.04, 1.2340e-13
388.18, 1.4220e-13
388.32, 1.5430e-13
388.46, 1.3810e-13
388.60, 1.2190e-13
388.74, 1.0500e-13
388.88, 1.0880e-13
389.02, 1.4360e-13
389.16, 1.5460e-13
389.30, 1.5320e-13
389.44, 1.4560e-13
389.58, 1.3560e-13
389.72, 1.3560e-13
389.86, 1.3120e-13
390.00, 1.2760e-13
390.14, 1.3000e-13
390.28, 1.3170e-13
390.42, 1.4070e-13
390.56, 1.4680e-13
390.70, 1.4950e-13
390.84, 1.5180e-13
390.98, 1.6260e-13
391.12, 1.5810e-13
391.26, 1.5140e-13
391.40, 1.5320e-13
391.54, 1.6930e-13
391.68, 1.8530e-13
391.82, 1.8810e-13
391.96, 1.7690e-13
392.10, 1.5530e-13
392.24, 1.4860e-13
392.38, 1.3780e-13
392.52, 1.3930e-13
392.66, 1.3990e-13
392.80, 1.3820e-13
392.94, 1.1920e-13
393.08, 1.0070e-13
393.22, 9.0130e-14
393.36, 9.0470e-14
393.50, 1.0370e-13
393.64, 1.0350e-13
393.78, 1.0710e-13
393.92, 1.1120e-13
394.06, 1.1480e-13
394.20, 1.1980e-13
394.34, 1.0820e-13
394.48, 1.0190e-13
394.62, 1.1460e-13
394.76, 1.2880e-13
394.90, 1.4380e-13
395.04, 1.6000e-13
395.18, 1.7250e-13
395.32, 1.8510e-13
395.46, 1.6990e-13
395.60, 1.4340e-13
395.74, 1.2640e-13
395.88, 1.1120e-13
396.02, 9.2520e-14
396.16, 8.8300e-14
396.30, 8.8830e-14
396.44, 9.2970e-14
396.58, 1.0610e-13
396.72, 1.0730e-13
396.86, 1.0880e-13
397.00, 1.1710e-13
397.14, 1.3210e-13
397.28, 1.3900e-13
397.42, 1.4310e-13
397.56, 1.6090e-13
397.70, 1.7800e-13
397.84, 1.8720e-13
397.98, 1.8440e-13
398.12, 1.8370e-13
398.26, 1.9200e-13
398.40, 2.0410e-13
398.54, 2.1170e-13
398.68, 2.0830e-13
398.82, 2.0810e-13
398.96, 2.1090e-13
399.10, 2.0920e-13
399.24, 2.1290e-13
399.38, 2.1740e-13
399.52, 2.1220e-13
399.66, 2.0180e-13
399.80, 1.9290e-13
399.94, 2.0030e-13
400.08, 2.1390e-13
400.22, 2.2970e-13
400.36, 2.3460e-13
400.50, 2.3720e-13
400.64, 2.3240e-13
400.78, 2.2270e-13
400.92, 2.1810e-13
401.06, 2.3270e-13
401.20, 2.5070e-13
401.34, 2.5220e-13
401.48, 2.5440e-13
401.62, 2.5370e-13
401.76, 2.4220e-13
401.90, 2.3110e-13
402.04, 2.2690e-13
402.18, 2.1260e-13
402.32, 2.1730e-13
402.46, 2.2710e-13
402.60, 2.3360e-13
402.74, 2.4680e-13
402.88, 2.4420e-13
403.02, 2.2010e-13
403.16, 1.9030e-13
403.30, 1.7880e-13
403.44, 1.9280e-13
403.58, 2.2920e-13
403.72, 2.6810e-13
403.86, 2.9580e-13
404.00, 2.9810e-13
404.14, 2.8720e-13
404.28, 2.6640e-13
404.42, 2.3990e-13
404.56, 2.2090e-13
404.70, 2.1660e-13
404.84, 2.2620e-13
404.98, 2.4260e-13
405.12, 2.6160e-13
405.26, 2.7990e-13
405.40, 2.8270e-13
405.54, 2.6930e-13
405.68, 2.5260e-13
405.82, 2.5830e-13
405.96, 2.6760e-13
406.10, 2.5900e-13
406.24, 2.4520e-13
406.38, 2.3270e-13
406.52, 2.3400e-13
406.66, 2.4160e-13
406.80, 2.4110e-13
406.94, 2.4740e-13
407.08, 2.5140e-13
407.22, 2.4710e-13
407.36, 2.4810e-13
407.50, 2.5850e-13
407.64, 2.5070e-13
407.78, 2.3260e-13
407.92, 2.3320e-13
408.06, 2.4390e-13
408.20, 2.5310e-13
408.34, 2.5780e-13
408.48, 2.6530e-13
408.62, 2.7560e-13
408.76, 2.8890e-13
408.90, 2.9540e-13
409.04, 2.9330e-13
409.18, 2.8690e-13
409.32, 2.7820e-13
409.46, 2.6800e-13
409.60, 2.5610e-13
409.74, 2.4550e-13
409.88, 2.3960e-13
410.02, 2.4110e-13
410.16, 2.4050e-13
410.30, 2.3650e-13
410.44, 2.4360e-13
410.58, 2.5920e-13
410.72, 2.7050e-13
410.86, 2.8340e-13
411.00, 2.8110e-13
411.14, 2.6820e-13
411.28, 2.5270e-13
411.42, 2.4960e-13
411.56, 2.5760e-13
411.70, 2.6620e-13
411.84, 2.6670e-13
411.98, 2.6750e-13
412.12, 2.7800e-13
412.26, 2.8620e-13
412.40, 2.8180e-13
412.54, 2.8070e-13
412.68, 2.7560e-13
412.82, 2.6830e-13
412.96, 2.6650e-13
413.10, 2.6490e-13
413.24, 2.5190e-13
413.38, 2.4400e-13
413.52, 2.5040e-13
413.66, 2.6260e-13
413.80, 2.7830e-13
413.94, 2.8720e-13
414.08, 2.8120e-13
414.22, 2.5960e-13
414.36, 2.4120e-13
414.50, 2.3660e-13
414.64, 2.4920e-13
414.78, 2.6730e-13
414.92, 2.7750e-13
415.06, 2.7990e-13
415.20, 2.8290e-13
415.34, 2.8620e-13
415.48, 2.8810e-13
415.62, 2.9430e-13
415.76, 2.9940e-13
415.90, 3.1020e-13
416.04, 3.2470e-13
416.18, 3.2670e-13
416.32, 3.1940e-13
416.46, 3.0730e-13
416.60, 2.9180e-13
416.74, 2.8560e-13
416.88, 2.8540e-13
417.02, 2.9300e-13
417.16, 2.8080e-13
417.30, 2.6600e-13
417.44, 2.6040e-13
417.58, 2.7050e-13
417.72, 2.8900e-13
417.86, 3.0760e-13
418.00, 3.1930e-13
418.14, 3.1780e-13
418.28, 2.9210e-13
418.42, 2.8820e-13
418.56, 2.9020e-13
418.70, 2.9100e-13
418.84, 2.7990e-13
418.98, 2.8880e-13
419.12, 2.9500e-13
419.26, 2.9420e-13
419.40, 2.9010e-13
419.54, 2.8550e-13
419.68, 2.8370e-13
419.82, 2.7320e-13
419.96, 2.5890e-13
420.10, 2.5480e-13
420.24, 2.5900e-13
420.38, 2.6480e-13
420.52, 2.7950e-13
420.66, 2.7890e-13
420.80, 2.7770e-13
420.94, 2.7410e-13
421.08, 2.7770e-13
421.22, 2.7630e-13
421.36, 2.6920e-13
421.50, 2.5970e-13
421.64, 2.4460e-13
421.78, 2.3490e-13
421.92, 2.2810e-13
422.06, 2.1330e-13
422.20, 1.8370e-13
422.34, 1.4730e-13
422.48, 1.1370e-13
422.62, 8.8740e-14
422.76, 7.7860e-14
422.90, 9.1520e-14
423.04, 1.1410e-13
423.18, 1.3720e-13
423.32, 1.6020e-13
423.46, 1.8350e-13
423.60, 2.0240e-13
423.74, 2.1890e-13
423.88, 2.3170e-13
424.02, 2.3500e-13
424.16, 2.3050e-13
424.30, 2.3320e-13
424.44, 2.4490e-13
424.58, 2.5780e-13
424.72, 2.4730e-13
424.86, 2.3570e-13
425.00, 2.3100e-13
425.14, 2.3650e-13
425.28, 2.2140e-13
425.42, 1.9720e-13
425.56, 1.8890e-13
425.70, 2.1110e-13
425.84, 2.3080e-13
425.98, 2.4180e-13
426.12, 2.5020e-13
426.26, 2.6020e-13
426.40, 2.6990e-13
426.54, 2.8190e-13
426.68, 2.8820e-13
426.82, 2.8350e-13
426.96, 2.8260e-13
427.10, 2.5390e-13
427.24, 2.1480e-13
427.38, 1.9130e-13
427.52, 1.9550e-13
427.66, 2.1550e-13
427.80, 2.4560e-13
427.94, 2.7420e-13
428.08, 2.8390e-13
428.22, 2.7360e-13
428.36, 2.7190e-13
428.50, 2.7830e-13
428.64, 2.7210e-13
428.78, 2.4470e-13
428.92, 2.1570e-13
429.06, 2.0420e-13
429.20, 2.1470e-13
429.34, 2.4500e-13
429.48, 2.7510e-13
429.62, 2.9100e-13
429.76, 2.8730e-13
429.90, 2.6030e-13
430.04, 2.4510e-13
430.18, 2.4810e-13
430.32, 2.5180e-13
430.46, 2.6230e-13
430.60, 2.6030e-13
430.74, 2.4650e-13
430.88, 2.4540e-13
431.02, 2.7140e-13
431.16, 3.1010e-13
431.30, 3.3280e-13
431.44, 3.3560e-13
431.58, 3.2810e-13
431.72, 3.1810e-13
431.86, 3.1930e-13
432.00, 3.2940e-13
432.14, 3.3850e-13
432.28, 3.4160e-13
432.42, 3.3230e-13
432.56, 3.2050e-13
432.70, 3.0990e-13
432.84, 3.0900e-13
432.98, 3.3860e-13
433.12, 3.7180e-13
433.26, 3.8290e-13
433.40, 3.8930e-13
433.54, 3.9140e-13
433.68, 3.7960e-13
433.82, 3.5960e-13
433.96, 3.4380e-13
434.10, 3.4380e-13
434.24, 3.5380e-13
434.38, 3.5680e-13
434.52, 3.4810e-13
434.66, 3.5220e-13
434.80, 3.7750e-13
434.94, 3.8370e-13
435.08, 3.6680e-13
435.22, 3.4560e-13
435.36, 3.1970e-13
