wavelength[nm], flux
385.48, 2.4340e-12
385.62, 2.4310e-12
385.76, 2.3940e-12
385.90, 2.4040e-12
386.04, 2.4120e-12
386.18, 2.4170e-12
386.32, 2.4680e-12
386.46, 2.5200e-12
386.60, 2.5300e-12
386.74, 2.5380e-12
386.88, 2.5390e-12
387.02, 2.5600e-12
387.16, 2.5490e-12
387.30, 2.4560e-12
387.44, 2.3860e-12
387.58, 2.3530e-12
387.72, 2.3210e-12
387.86, 2.2020e-12
388.00, 2.1110e-12
388.14, 2.0810e-12
388.28, 2.0630e-12
388.42, 1.9810e-12
388.56, 1.7960e-12
388.70, 1.5910e-12
388.84, 1.4100e-12
388.98, 1.3110e-12
389.12, 1.3430e-12
389.26, 1.4580e-12
389.40, 1.6020e-12
389.54, 1.7440e-12
389.68, 1.8690e-12
389.82, 1.9730e-12
389.96, 2.0450e-12
390.10, 2.1220e-12
390.24, 2.1940e-12
390.38, 2.2450e-12
390.52, 2.2700e-12
390.66, 2.2890e-12
390.80, 2.3050e-12
390.94, 2.3550e-12
391.08, 2.4610e-12
391.22, 2.5250e-12
391.36, 2.5250e-12
391.50, 2.4840e-12
391.64, 2.4760e-12
391.78, 2.4480e-12
391.92, 2.4060e-12
392.06, 2.3950e-12
392.20, 2.4210e-12
392.34, 2.4650e-12
392.48, 2.4500e-12
392.62, 2.4060e-12
392.76, 2.3050e-12
392.90, 2.0880e-12
393.04, 1.8310e-12
393.18, 1.5270e-12
393.32, 1.2140e-12
393.46, 1.0230e-12
393.60, 1.0890e-12
393.74, 1.3840e-12
393.88, 1.7120e-12
394.02, 1.9940e-12
394.16, 2.1780e-12
394.30, 2.2190e-12
394.44, 2.2110e-12
394.58, 2.2420e-12
394.72, 2.2720e-12
394.86, 2.3180e-12
395.00, 2.3140e-12
395.14, 2.3090e-12
395.28, 2.3240e-12
395.42, 2.3090e-12
395.56, 2.2490e-12
395.70, 2.2190e-12
395.84, 2.1600e-12
395.98, 2.1100e-12
396.12, 2.0010e-12
396.26, 1.9180e-12
396.40, 1.7990e-12
396.54, 1.6150e-12
396.68, 1.3930e-12
396.82, 1.1270e-12
396.96, 9.5250e-13
397.10, 9.4380e-13
397.24, 1.0960e-12
397.38, 1.3580e-12
397.52, 1.5790e-12
397.66, 1.7720e-12
397.80, 1.9490e-12
397.94, 2.0980e-12
398.08, 2.1820e-12
398.22, 2.2250e-12
398.36, 2.2720e-12
398.50, 2.3410e-12
398.64, 2.4010e-12
398.78, 2.4200e-12
398.92, 2.4510e-12
399.06, 2.5100e-12
399.20, 2.5970e-12
399.34, 2.6300e-12
399.48, 2.6160e-12
399.62, 2.5710e-12
399.76, 2.5280e-12
399.90, 2.5270e-12
400.04, 2.6020e-12
400.18, 2.6790e-12
400.32, 2.6840e-12
400.46, 2.6260e-12
400.60, 2.5510e-12
400.74, 2.5490e-12
400.88, 2.6300e-12
401.02, 2.7200e-12
401.16, 2.7250e-12
401.30, 2.6830e-12
401.44, 2.6660e-12
401.58, 2.6560e-12
401.72, 2.6800e-12
401.86, 2.7140e-12
402.00, 2.7330e-12
402.14, 2.7270e-12
402.28, 2.7230e-12
402.42, 2.7100e-12
402.56, 2.7090e-12
402.70, 2.7190e-12
402.84, 2.7340e-12
402.98, 2.6960e-12
403.12, 2.6210e-12
403.26, 2.5810e-12
403.40, 2.5870e-12
403.54, 2.6210e-12
403.68, 2.6840e-12
403.82, 2.7450e-12
403.96, 2.7620e-12
404.10, 2.7650e-12
404.24, 2.7430e-12
404.38, 2.6900e-12
404.52, 2.6530e-12
404.66, 2.6110e-12
404.80, 2.6350e-12
404.94, 2.7060e-12
405.08, 2.7540e-12
405.22, 2.7330e-12
405.36, 2.6410e-12
405.50, 2.5680e-12
405.64, 2.5500e-12
405.78, 2.5690e-12
405.92, 2.5960e-12
406.06, 2.6170e-12
406.20, 2.6260e-12
406.34, 2.5850e-12
406.48, 2.5440e-12
406.62, 2.5400e-12
406.76, 2.5480e-12
406.90, 2.5990e-12
407.04, 2.6370e-12
407.18, 2.5920e-12
407.32, 2.5410e-12
407.46, 2.5300e-12
