wavelength[nm], flux
385.30, 3.9690e-11
385.44, 4.0450e-11
385.58, 4.0750e-11
385.72, 4.1070e-11
385.86, 4.1750e-11
386.00, 4.2180e-11
386.14, 4.2500e-11
386.28, 4.2340e-11
386.42, 4.2060e-11
386.56, 4.1370e-11
386.70, 4.0180e-11
386.84, 3.9300e-11
386.98, 3.9310e-11
387.12, 3.9090e-11
387.26, 3.8810e-11
387.40, 3.8470e-11
387.54, 3.8580e-11
387.68, 3.8490e-11
387.82, 3.7900e-11
387.96, 3.6580e-11
388.10, 3.4540e-11
388.24, 3.2360e-11
388.38, 2.9480e-11
388.52, 2.6550e-11
388.66, 2.4030e-11
388.80, 2.1950e-11
388.94, 2.1040e-11
389.08, 2.2850e-11
389.22, 2.6330e-11
389.36, 2.9660e-11
389.50, 3.2250e-11
389.64, 3.5150e-11
389.78, 3.6720e-11
389.92, 3.8120e-11
390.06, 3.9730e-11
390.20, 4.1170e-11
390.34, 4.0650e-11
390.48, 4.0440e-11
390.62, 4.0390e-11
390.76, 4.0450e-11
390.90, 4.0400e-11
391.04, 4.0170e-11
391.18, 4.0750e-11
391.32, 4.1160e-11
391.46, 4.1170e-11
391.60, 4.0680e-11
391.74, 3.9670e-11
391.88, 3.8940e-11
392.02, 3.8790e-11
392.16, 3.8990e-11
392.30, 3.8370e-11
392.44, 3.8320e-11
392.58, 3.8060e-11
392.72, 3.7300e-11
392.86, 3.6810e-11
393.00, 3.7250e-11
393.14, 3.7320e-11
393.28, 3.6900e-11
393.42, 3.6010e-11
393.56, 3.7250e-11
393.70, 3.8520e-11
393.84, 3.9350e-11
393.98, 4.0090e-11
394.12, 4.0020e-11
394.26, 3.9610e-11
394.40, 3.9610e-11
394.54, 3.9500e-11
394.68, 3.9250e-11
394.82, 3.8070e-11
394.96, 3.7200e-11
395.10, 3.6990e-11
395.24, 3.6950e-11
395.38, 3.6500e-11
395.52, 3.6430e-11
395.66, 3.5900e-11
395.80, 3.5090e-11
395.94, 3.3620e-11
396.08, 3.2810e-11
396.22, 3.1250e-11
396.36, 2.9110e-11
396.50, 2.7060e-11
396.64, 2.4200e-11
396.78, 2.1110e-11
396.92, 1.9540e-11
397.06, 1.9790e-11
397.20, 2.2210e-11
397.34, 2.5350e-11
397.48, 2.8050e-11
397.62, 3.0480e-11
397.76, 3.2680e-11
397.90, 3.3920e-11
398.04, 3.4630e-11
398.18, 3.5060e-11
398.32, 3.5400e-11
398.46, 3.6210e-11
398.60, 3.6130e-11
398.74, 3.6110e-11
398.88, 3.6460e-11
399.02, 3.7070e-11
399.16, 3.7300e-11
399.30, 3.7100e-11
399.44, 3.6910e-11
399.58, 3.7010e-11
399.72, 3.7070e-11
399.86, 3.7480e-11
400.00, 3.7320e-11
400.14, 3.6680e-11
400.28, 3.6300e-11
400.42, 3.5380e-11
400.56, 3.4330e-11
400.70, 3.3470e-11
400.84, 3.3010e-11
400.98, 3.3560e-11
401.12, 3.3990e-11
401.26, 3.4350e-11
401.40, 3.4630e-11
401.54, 3.4510e-11
401.68, 3.4090e-11
401.82, 3.3850e-11
401.96, 3.3650e-11
402.10, 3.3670e-11
402.24, 3.2560e-11
402.38, 3.0910e-11
402.52, 2.9740e-11
402.66, 3.0280e-11
402.80, 3.2140e-11
402.94, 3.3880e-11
403.08, 3.4940e-11
403.22, 3.5480e-11
403.36, 3.4970e-11
403.50, 3.4760e-11
403.64, 3.4840e-11
403.78, 3.4630e-11
403.92, 3.4370e-11
404.06, 3.4160e-11
404.20, 3.4460e-11
404.34, 3.5120e-11
404.48, 3.5280e-11
404.62, 3.4690e-11
404.76, 3.4340e-11
404.90, 3.4350e-11
405.04, 3.4180e-11
405.18, 3.4080e-11
405.32, 3.4220e-11
405.46, 3.4180e-11
405.60, 3.4170e-11
405.74, 3.4240e-11
405.88, 3.4450e-11
406.02, 3.4660e-11
406.16, 3.4480e-11
406.30, 3.4060e-11
406.44, 3.3550e-11
406.58, 3.2910e-11
406.72, 3.2450e-11
406.86, 3.2560e-11
407.00, 3.2700e-11
407.14, 3.2530e-11
407.28, 3.2380e-11
407.42, 3.2590e-11
407.56, 3.2760e-11
407.70, 3.2670e-11
407.84, 3.2670e-11
407.98, 3.2740e-11
408.12, 3.2710e-11
408.26, 3.2390e-11
408.40, 3.1820e-11
408.54, 3.1170e-11
408.68, 3.0960e-11
408.82, 3.1210e-11
408.96, 3.1100e-11
409.10, 3.0260e-11
409.24, 2.8700e-11
409.38, 2.6990e-11
409.52, 2.5340e-11
409.66, 2.3190e-11
409.80, 2.1060e-11
409.94, 1.9080e-11
410.08, 1.7940e-11
410.22, 1.8200e-11
410.36, 1.9740e-11
410.50, 2.2020e-11
410.64, 2.4190e-11
410.78, 2.6090e-11
410.92, 2.7520e-11
411.06, 2.8170e-11
411.20, 2.8550e-11
411.34, 2.9190e-11
411.48, 2.9600e-11
411.62, 3.0020e-11
411.76, 3.0450e-11
411.90, 3.0280e-11
412.04, 2.9890e-11
412.18, 2.9820e-11
412.32, 3.0380e-11
412.46, 3.0780e-11
412.60, 3.1110e-11
412.74, 3.1400e-11
412.88, 3.1540e-11
413.02, 3.1520e-11
413.16, 3.1380e-11
413.30, 3.0960e-11
413.44, 3.0610e-11
413.58, 3.0700e-11
413.72, 3.0410e-11
413.86, 3.0190e-11
414.00, 2.9610e-11
414.14, 2.8750e-11
414.28, 2.8020e-11
414.42, 2.7770e-11
414.56, 2.8300e-11
414.70, 2.9050e-11
414.84, 2.9720e-11
414.98, 3.0170e-11
415.12, 3.0100e-11
415.26, 2.9630e-11
415.40, 2.9670e-11
415.54, 3.0140e-11
415.68, 3.0690e-11
415.82, 3.0470e-11
415.96, 3.0360e-11
416.10, 3.0060e-11
416.24, 3.0010e-11
416.38, 3.0580e-11
416.52, 3.0500e-11
416.66, 3.0480e-11
416.80, 3.0470e-11
416.94, 3.0010e-11
417.08, 2.9300e-11
417.22, 2.9000e-11
417.36, 2.9040e-11
417.50, 2.9630e-11
417.64, 2.9570e-11
417.78, 2.9850e-11
417.92, 3.0030e-11
418.06, 2.9850e-11
418.20, 2.9560e-11
418.34, 2.9170e-11
418.48, 2.8950e-11
418.62, 2.9020e-11
418.76, 2.9160e-11
