wavelength[nm], flux
385.35, 5.5680e-13
385.49, 5.3370e-13
385.63, 5.0390e-13
385.77, 4.6610e-13
385.91, 4.5230e-13
386.05, 4.9060e-13
386.19, 5.5460e-13
386.33, 5.8830e-13
386.47, 5.8790e-13
386.61, 5.7520e-13
386.75, 5.5790e-13
386.89, 5.2240e-13
387.03, 4.8880e-13
387.17, 4.9610e-13
387.31, 5.4540e-13
387.45, 5.7300e-13
387.59, 5.4920e-13
387.73, 5.3340e-13
387.87, 5.3430e-13
388.01, 5.4480e-13
388.15, 5.5570e-13
388.29, 5.5840e-13
388.43, 5.3700e-13
388.57, 5.0880e-13
388.71, 5.1460e-13
388.85, 5.6840e-13
388.99, 6.2220e-13
389.13, 6.5830e-13
389.27, 6.6650e-13
389.41, 6.5450e-13
389.55, 6.4820e-13
389.69, 6.4690e-13
389.83, 6.4480e-13
389.97, 6.3840e-13
390.11, 6.2430e-13
390.25, 6.0660e-13
390.39, 5.9980e-13
390.53, 6.1750e-13
390.67, 6.5540e-13
390.81, 6.9830e-13
390.95, 7.3030e-13
391.09, 7.5130e-13
391.23, 7.5180e-13
391.37, 7.2980e-13
391.51, 7.0280e-13
391.65, 6.6830e-13
391.79, 6.3030e-13
391.93, 5.8580e-13
392.07, 5.5760e-13
392.21, 5.6960e-13
392.35, 5.6070e-13
392.49, 5.2090e-13
392.63, 4.6150e-13
392.77, 4.0350e-13
392.91, 3.6260e-13
393.05, 3.5260e-13
393.19, 3.6410e-13
393.33, 3.7590e-13
393.47, 3.6610e-13
393.61, 3.8060e-13
393.75, 4.1360e-13
393.89, 4.5850e-13
394.03, 5.0050e-13
394.17, 5.2260e-13
394.31, 5.4710e-13
394.45, 5.8470e-13
394.59, 6.2390e-13
394.73, 6.5330e-13
394.87, 6.7950e-13
395.01, 7.0720e-13
395.15, 7.2450e-13
395.29, 7.2610e-13
395.43, 7.1370e-13
395.57, 6.9840e-13
395.71, 6.8140e-13
395.85, 6.5090e-13
395.99, 5.6030e-13
396.13, 4.9190e-13
396.27, 4.5030e-13
396.41, 4.2680e-13
396.55, 4.0330e-13
396.69, 4.1820e-13
396.83, 4.3650e-13
396.97, 4.5440e-13
397.11, 4.7730e-13
397.25, 5.2750e-13
397.39, 5.8000e-13
397.53, 6.4500e-13
397.67, 7.2450e-13
397.81, 7.7490e-13
397.95, 7.9520e-13
398.09, 8.0610e-13
398.23, 8.0880e-13
398.37, 8.0400e-13
398.51, 8.2450e-13
398.65, 8.5050e-13
398.79, 8.7240e-13
398.93, 8.8430e-13
399.07, 9.0660e-13
399.21, 9.0340e-13
399.35, 8.8440e-13
399.49, 8.6000e-13
399.63, 8.5590e-13
399.77, 8.7380e-13
399.91, 9.0760e-13
400.05, 9.3720e-13
400.19, 9.3370e-13
400.33, 8.8810e-13
400.47, 8.7310e-13
400.61, 8.9700e-13
400.75, 9.4870e-13
400.89, 9.8310e-13
401.03, 9.9440e-13
401.17, 9.9200e-13
401.31, 9.9080e-13
401.45, 9.7770e-13
401.59, 9.6200e-13
401.73, 9.6440e-13
401.87, 9.8140e-13
402.01, 9.9220e-13
402.15, 9.8400e-13
402.29, 9.8350e-13
402.43, 9.9990e-13
402.57, 1.0200e-12
402.71, 9.7640e-13
402.85, 9.0480e-13
402.99, 8.4700e-13
403.13, 8.2460e-13
403.27, 8.4290e-13
403.41, 9.2040e-13
403.55, 9.9810e-13
403.69, 1.0450e-12
403.83, 1.0160e-12
403.97, 9.8630e-13
404.11, 9.4140e-13
404.25, 8.7060e-13
404.39, 7.8470e-13
404.53, 8.0810e-13
404.67, 8.8380e-13
404.81, 9.5440e-13
404.95, 9.9160e-13
405.09, 9.7930e-13
405.23, 9.4780e-13
405.37, 9.1590e-13
405.51, 8.9710e-13
405.65, 8.8980e-13
405.79, 9.0280e-13
405.93, 8.9340e-13
406.07, 8.5860e-13
406.21, 8.0090e-13
406.35, 8.1880e-13
406.49, 8.6460e-13
406.63, 9.0540e-13
406.77, 9.5080e-13
406.91, 9.1580e-13
407.05, 8.8630e-13
407.19, 8.9490e-13
407.33, 9.2080e-13
407.47, 8.7400e-13
407.61, 8.3660e-13
407.75, 8.5520e-13
407.89, 9.1490e-13
408.03, 9.7470e-13
408.17, 9.8140e-13
408.31, 9.7740e-13
408.45, 1.0000e-12
408.59, 1.0400e-12
408.73, 1.0660e-12
408.87, 1.0700e-12
409.01, 1.0560e-12
409.15, 1.0400e-12
409.29, 1.0210e-12
409.43, 9.9050e-13
409.57, 9.5790e-13
409.71, 9.4630e-13
409.85, 9.1890e-13
409.99, 8.8590e-13
410.13, 8.7500e-13
410.27, 8.9670e-13
410.41, 9.3770e-13
410.55, 9.6640e-13
410.69, 9.8140e-13
410.83, 9.9480e-13
410.97, 1.0060e-12
411.11, 1.0340e-12
411.25, 1.0680e-12
411.39, 1.0930e-12
411.53, 1.0790e-12
411.67, 1.0430e-12
411.81, 1.0270e-12
411.95, 1.0300e-12
412.09, 1.0290e-12
412.23, 1.0430e-12
412.37, 1.0570e-12
412.51, 1.0470e-12
412.65, 1.0250e-12
412.79, 1.0100e-12
