wavelength[nm], flux
385.30, 1.6920e-12
385.44, 1.7270e-12
385.58, 1.7600e-12
385.72, 1.7690e-12
385.86, 1.7870e-12
386.00, 1.8320e-12
386.14, 1.8860e-12
386.28, 1.8720e-12
386.42, 1.8460e-12
386.56, 1.8690e-12
386.70, 1.8660e-12
386.84, 1.8450e-12
386.98, 1.8020e-12
387.12, 1.7170e-12
387.26, 1.6660e-12
387.40, 1.6390e-12
387.54, 1.5980e-12
387.68, 1.5270e-12
387.82, 1.4410e-12
387.96, 1.3670e-12
388.10, 1.2930e-12
388.24, 1.2110e-12
388.38, 1.0930e-12
388.52, 9.4480e-13
388.66, 8.1640e-13
388.80, 7.4020e-13
388.94, 7.5340e-13
389.08, 8.3670e-13
389.22, 9.4620e-13
389.36, 1.0580e-12
389.50, 1.1420e-12
389.64, 1.2350e-12
389.78, 1.3660e-12
389.92, 1.4590e-12
390.06, 1.5100e-12
390.20, 1.5450e-12
390.34, 1.5710e-12
390.48, 1.6090e-12
390.62, 1.6850e-12
390.76, 1.8210e-12
390.90, 1.8760e-12
391.04, 1.8400e-12
391.18, 1.8960e-12
391.32, 1.9130e-12
391.46, 1.9060e-12
391.60, 1.8710e-12
391.74, 1.8560e-12
391.88, 1.9420e-12
392.02, 1.9520e-12
392.16, 1.9630e-12
392.30, 2.0370e-12
392.44, 2.0330e-12
392.58, 1.9580e-12
392.72, 1.9430e-12
392.86, 1.8630e-12
393.00, 1.6900e-12
393.14, 1.5050e-12
393.28, 1.4070e-12
393.42, 1.5340e-12
393.56, 1.7300e-12
393.70, 1.8620e-12
393.84, 1.9450e-12
393.98, 1.9320e-12
394.12, 1.9020e-12
394.26, 1.8630e-12
394.40, 1.8600e-12
394.54, 1.8600e-12
394.68, 1.8100e-12
394.82, 1.7890e-12
394.96, 1.7840e-12
395.10, 1.7630e-12
395.24, 1.7150e-12
395.38, 1.6820e-12
395.52, 1.6590e-12
395.66, 1.5540e-12
395.80, 1.4900e-12
395.94, 1.4170e-12
396.08, 1.3010e-12
396.22, 1.1960e-12
396.36, 1.1060e-12
396.50, 9.8500e-13
396.64, 8.1990e-13
396.78, 6.8950e-13
396.92, 6.7720e-13
397.06, 7.4990e-13
397.20, 8.6030e-13
397.34, 9.9840e-13
397.48, 1.1150e-12
397.62, 1.1870e-12
397.76, 1.2820e-12
397.90, 1.3900e-12
398.04, 1.4590e-12
398.18, 1.4940e-12
398.32, 1.5380e-12
398.46, 1.6010e-12
398.60, 1.6710e-12
398.74, 1.7400e-12
398.88, 1.7780e-12
399.02, 1.8090e-12
399.16, 1.8440e-12
399.30, 1.8590e-12
399.44, 1.8630e-12
399.58, 1.8900e-12
399.72, 1.9180e-12
399.86, 1.9150e-12
400.00, 1.9220e-12
400.14, 1.9410e-12
400.28, 1.9450e-12
400.42, 1.9160e-12
400.56, 1.9920e-12
400.70, 2.0780e-12
400.84, 2.0510e-12
400.98, 1.9960e-12
401.12, 2.0080e-12
401.26, 2.0190e-12
401.40, 2.0450e-12
401.54, 2.0780e-12
401.68, 2.0850e-12
401.82, 2.0640e-12
401.96, 2.0790e-12
402.10, 2.1120e-12
402.24, 2.0580e-12
402.38, 2.0570e-12
402.52, 2.0480e-12
402.66, 2.0130e-12
402.80, 2.0190e-12
402.94, 2.0100e-12
403.08, 1.9790e-12
403.22, 1.9730e-12
403.36, 2.0170e-12
403.50, 2.0660e-12
403.64, 2.0860e-12
403.78, 2.1040e-12
403.92, 2.1130e-12
404.06, 2.0220e-12
404.20, 1.9900e-12
404.34, 1.9900e-12
404.48, 1.9980e-12
404.62, 2.0230e-12
404.76, 2.0190e-12
404.90, 2.0520e-12
405.04, 2.0770e-12
405.18, 2.0340e-12
405.32, 2.0110e-12
405.46, 1.9430e-12
405.60, 1.9140e-12
405.74, 2.0010e-12
405.88, 2.0440e-12
406.02, 2.0120e-12
406.16, 1.9330e-12
406.30, 1.8590e-12
406.44, 1.8970e-12
406.58, 1.9180e-12
406.72, 1.8590e-12
406.86, 1.8260e-12
407.00, 1.8240e-12
407.14, 1.8410e-12
407.28, 1.7940e-12
407.42, 1.6810e-12
407.56, 1.6410e-12
407.70, 1.6620e-12
407.84, 1.6630e-12
407.98, 1.6560e-12
408.12, 1.6440e-12
408.26, 1.6320e-12
408.40, 1.6010e-12
408.54, 1.5410e-12
408.68, 1.5140e-12
408.82, 1.5040e-12
408.96, 1.4340e-12
409.10, 1.3220e-12
409.24, 1.2590e-12
409.38, 1.2070e-12
409.52, 1.1270e-12
409.66, 9.8070e-13
409.80, 8.3810e-13
409.94, 7.3180e-13
410.08, 6.8650e-13
410.22, 7.2400e-13
410.36, 7.9450e-13
410.50, 9.0420e-13
410.64, 1.0180e-12
410.78, 1.1080e-12
410.92, 1.2160e-12
411.06, 1.2600e-12
411.20, 1.3190e-12
411.34, 1.4220e-12
411.48, 1.4600e-12
411.62, 1.4840e-12
411.76, 1.5400e-12
411.90, 1.6000e-12
412.04, 1.6270e-12
412.18, 1.6120e-12
412.32, 1.6390e-12
412.46, 1.6810e-12
412.60, 1.6490e-12
412.74, 1.6550e-12
412.88, 1.6860e-12
413.02, 1.7110e-12
413.16, 1.7350e-12
413.30, 1.7720e-12
413.44, 1.8160e-12
413.58, 1.8410e-12
413.72, 1.8200e-12
413.86, 1.8780e-12
414.00, 1.9150e-12
414.14, 1.8580e-12
414.28, 1.8020e-12
414.42, 1.8110e-12
414.56, 1.8630e-12
414.70, 1.8960e-12
414.84, 1.8790e-12
414.98, 1.9040e-12
415.12, 1.9140e-12
415.26, 1.8900e-12
415.40, 1.8920e-12
415.54, 1.8430e-12
415.68, 1.8110e-12
415.82, 1.8350e-12
415.96, 1.8510e-12
416.10, 1.8710e-12
416.24, 1.8930e-12
416.38, 1.8880e-12
416.52, 1.8880e-12
416.66, 1.9020e-12
416.80, 1.8930e-12
416.94, 1.8400e-12
417.08, 1.7870e-12
417.22, 1.8050e-12
417.36, 1.8320e-12
417.50, 1.8150e-12
417.64, 1.7980e-12
417.78, 1.7910e-12
417.92, 1.8140e-12
418.06, 1.8300e-12
418.20, 1.8020e-12
418.34, 1.8050e-12
418.48, 1.8510e-12
418.62, 1.8450e-12
418.76, 1.7800e-12
418.90, 1.8190e-12
419.04, 1.8840e-12
419.18, 1.9170e-12
419.32, 1.9050e-12
419.46, 1.8710e-12
419.60, 1.8340e-12
419.74, 1.7930e-12
419.88, 1.7950e-12
420.02, 1.7710e-12
420.16, 1.7760e-12
420.30, 1.8120e-12
420.44, 1.8160e-12
420.58, 1.8510e-12
420.72, 1.9060e-12
420.86, 1.9170e-12
421.00, 1.8990e-12
421.14, 1.8760e-12
421.28, 1.8610e-12
421.42, 1.8420e-12
421.56, 1.8110e-12
421.70, 1.7850e-12
421.84, 1.7960e-12
421.98, 1.8150e-12
422.12, 1.8040e-12
422.26, 1.7650e-12
422.40, 1.7750e-12
422.54, 1.7720e-12
422.68, 1.7400e-12
422.82, 1.7720e-12
422.96, 1.8070e-12
423.10, 1.8070e-12
423.24, 1.7850e-12
423.38, 1.7730e-12
423.52, 1.7810e-12
423.66, 1.8120e-12
423.80, 1.8240e-12
